大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
人工麝香、三七、血竭、醋没药、红花、冰片、朱砂、醋乳香、酒当归、儿茶	活血，散瘀，消肿，止痛
三七、当归、白芍、赤芍、桃仁、红花、血竭、北刘寄奴、烫骨碎补、续断、苏木、牡丹皮、乳香（制）、没药（制）、姜黄、醋三棱、防风、甜瓜子、枳实（炒）、桔梗、甘草、木通、煅自然铜、土鳖虫	活血散瘀，消肿止痛
红花、当归、血竭、三七、烫骨碎补、续断、乳香（炒）、没药（炒）、儿茶、大黄、冰片、土鳖虫	舒筋活血，散瘀止痛
土鳖虫、生草乌、马钱子、大黄、降香、两面针、黄芩、黄柏、虎杖、冰片、薄荷素油、樟脑、水杨酸甲酯、薄荷脑	活血止痛，散瘀消肿，祛风胜湿
熟地黄、五味子、枸杞子、牛膝、茯苓、制何首乌、白芍、柏子仁、远志、炙黄芪、陈皮、淫羊藿、当归、川芎、丹参、人参	滋补肝肾，益气活血
辛夷、薄荷、紫苏叶、甘草、广藿香、苍耳子、鹅不食草、板蓝根、山白芷、防风、鱼腥草、菊花、三叉苦	祛风宣窍，清热解毒
细辛、黄芩、荆芥、防风、白芷、苍耳子、黄芪、白术、桂枝、石菖蒲	益气固表，祛风通窍
柴胡、枳实、木香、陈皮、清半夏、蒲公英、焦山楂、焦槟榔、鸡矢藤、党参、延胡索、六神曲（炒）	清热解郁，和胃降逆，通利消滞
黄连、苦参、瞿麦、川木通、萹蓄、栀子、大黄、丹参、绵萆薢、茯苓、白术、石菖蒲、甘草	清热祛湿，利水通淋
连翘、金银花、炙麻黄、炒苦杏仁、石膏、板蓝根、绵马贯众、鱼腥草、广藿香、大黄、红景天、薄荷脑、甘草	清瘟解毒，宣肺泄热
盐酸小檗碱、蒲公英浸膏	清热解毒，燥湿止痢
制川乌、白芷、制草乌、香附（制）、甘草、白术（炒）、没药（制）、麻黄、川芎、乳香（制）、秦艽、地龙、当归、茯苓、赤小豆、羌活、天麻、赤芍、细辛、防风、天南星（制）、桂枝、甘松	祛风除湿，通经活络，散寒止痛
柴胡、当归、白芍、炒白术、茯苓、炙甘草、薄荷	疏肝健脾，养血调经
柴胡、当归、白芍、炒白术、茯苓、炙甘草、薄荷、生姜	疏肝健脾，养血调经
何首乌、地黄、当归、麦冬、玄参、麸炒枳壳	滋阴补肾，润肠通便
黄芪、熟地黄、通草、瞿麦、路路通、天花粉、党参、漏芦、川芎、当归、白芍（酒炒）、王不留行、柴胡、穿山甲（烫）、鹿角霜	益气养血，通络下乳
猪牙皂、鹅不食草、细辛	通关开窍
川芎、赤芍、天麻、羌活、白芷、细辛、菊花、薄荷、防风、茶叶、甘草	活血化瘀，祛风止痛
紫苏叶、前胡、桔梗、苦杏仁、麻黄、甘草、陈皮、半夏（制）、茯苓、枳壳（炒）、黄芩	解表散寒，宣肺止嗽
紫苏叶、前胡、桔梗、苦杏仁、麻黄、甘草、陈皮、半夏（制）、茯苓、麸炒枳壳、黄芩	解表散寒，宣肺止咳
紫苏叶、前胡、桔梗、苦杏仁、麻黄、甘草、陈皮、姜半夏、茯苓、枳壳(炒)、黄芩	解表散寒，宣肺止嗽
紫苏叶、前胡、桔梗、苦杏仁、麻黄、甘草、陈皮、半夏（制）、茯苓、麸炒枳壳、黄芩	解表散寒，宣肺止咳
麸炒枳壳、木香、姜厚朴、桃仁（去皮）、红花、当归、炒苦杏仁、火麻仁、郁李仁、熟地黄、地黄、黄芩、槟榔、熟大黄、大黄、甘草	清热导滞，润肠通便
制马钱子、金钱白花蛇、蜈蚣、全蝎、地龙、僵蚕、乌梢蛇、天麻、人参、黄芪、当归、羌活、独活、防风、麻黄、桂枝、附子（黑顺片）、制川乌、薏苡仁、麸炒苍术、麸炒白术、桃仁、红花、炒没药、炮山甲、醋延胡索、牡丹皮、北刘寄奴、王不留行、鸡血藤、酒香附、木香、枳壳、砂仁、路路通、木瓜、川牛膝、续断、伸筋草、大黄、朱砂	祛风胜湿，活血通络，散寒止痛，调补气血
制马钱子、金钱白花蛇、蜈蚣、全蝎、地龙、僵蚕、乌梢蛇、天麻、人参、黄芪、当归、羌活、独活、防风、麻黄、桂枝、附子（黑顺片）、制川乌、薏苡仁、苍术（炒）、麸炒白术、桃仁、红花、没药（炒）、炮山甲、醋延胡索、牡丹皮、北刘寄奴、王不留行、鸡血藤、香附（酒制）、木香、枳壳、砂仁、路路通、木瓜、川牛膝、续断、伸筋草、大黄、朱砂	祛风胜湿，活血通络，散寒止痛，调补气血
北柴胡、龙胆、芦荟、熟大黄、黄芩、青黛、天南星（矶炙）、木香、醋青皮、陈皮、当归、栀子（姜炙）	清肝泻火，通窍润便
石菖蒲、郁金、荜茇、醋香附、木香、丁香、檀香、沉香、苏合香、安息香、冰片、乳香	行气活血，通窍止痛
炒苍耳子、防风、黄芪、白芷、辛夷、炒白术、薄荷	散风固表，宣肺通窍
当归、川芎、红花、山柰、花椒、胡椒、丁香、肉桂、荜茇、干姜、大黄、樟脑、冰片、薄荷脑	活血通络，散寒除湿，消肿止痛
地黄、鸡血藤、麦冬、甘草、制何首乌、阿胶、五味子、党参、醋龟甲、大枣、桂枝	益气养阴，通脉止痛
人工牛黄、水牛角浓缩粉、黄连、冰片、栀子、黄芩、朱砂、珍珠母、郁金、雄黄、石菖蒲	清热解毒，开窍镇惊
檀香、零陵香、白芷、香排草、姜黄、玫瑰花、甘松、丁香、木香、人工麝香、冰片、朱砂、薄荷脑	祛暑避秽，开窍止痛
秦艽、当归、石菖蒲、关黄柏、香附（酒炙）、郁金（醋炙）、醋莪术、雄黄、马钱子粉、皂角刺、桃仁、红花、乳香（醋炙）、硇砂、玄明粉、大黄、土鳖虫、青黛、木鳖子	疏通气血，软坚消积，清热解毒，燥湿杀虫
白芷（酒炖）、川芎	祛风散寒，活血通络
白芷、川芎	祛风散寒，活血通络
黄芪、淫羊藿、石菖蒲、红参、三七、地龙、当归、红花、粉防己、赤芍、炒桃仁、石决明、天麻、仙鹤草、炒槐花、炒白术、胆南星、葛根、玄参、黄连、连翘、泽泻、川芎、枸杞子、全蝎（去钩）、制何首乌0决明子、沉香、制白附子、细辛、木香、炒僵蚕、猪牙皂、冰片、珍珠（豆腐制）、大黄	化痰醒脑，祛风活络
白芍、醋延胡索、三七、郁金、佛手、姜黄、甘草	行气止痛，舒肝和胃，祛瘀生新
茯苓、法半夏、枳实（炒）、青皮（炒）、胆南星、橘红、砂仁、豆蔻、槟榔、合欢皮、六神曲（炒）、紫苏梗、生姜、蝉蜕、木蝴蝶、厚朴（制）	疏肝理气，化痰利咽
金银花、连翘、玄参、板蓝根、赤芍、黄芩、桑叶、菊花、前胡、燀苦杏仁、牛蒡子、泽泻、胖大海、僵蚕（麸炒）、蝉蜕、木蝴蝶	清热解毒，疏风利咽
金银花、连翘、玄参、板蓝根、赤芍、黄芩、桑叶、菊花、前胡、燀苦杏仁、牛莠子、泽泻、胖大海、炒僵蚕、蝉蜕、木蝴蝶	清热解毒，疏风利咽
马勃、醋莪术、金银花、桃仁、玄参、醋三棱、红花、丹参、板蓝根、麦冬、浙贝母、泽泻、炒鸡内金、蝉蜕、木蝴蝶、蒲公英	清热解毒，活血化瘀，利湿化痰
玄参、地黄、麦冬、黄芩、牡丹皮、赤芍、川贝母、泽泻、薏苡仁（炒）、石斛、僵蚕（麸炒）、薄荷、胖大海、蝉蜕、木蝴蝶、甘草	养阴清肺，化痰利咽
玄参、地黄、麦冬、黄芩、牡丹皮、赤芍、川贝母、泽泻、麸炒薏苡仁、石斛、炒僵蚕、薄荷、胖大海、蝉蜕、木蝴蝶、甘草	养阴清肺，化痰利咽
山羊角、平贝母、大黄、黄芩、青礞石、石膏、人工牛黄、甘草	清热解毒，祛痰止咳
地黄、玄参、西青果、蝉蜕、胖大海、麦冬、南沙参、太子参、陈皮	养阴生津，清热利咽
地黄、玄参、西青果、蝉蜕、麦冬、胖大海、南沙参、太子参、陈皮、薄荷素油	养阴生津，清热利咽
发酵虫草菌粉	补益肺肾，秘精益气
黄连、黄芪、金银花	清热益气
熟地黄、盐菟丝子、枸杞子、五味子、白芍、黄精、黄芪、党参、川芎、菊花、炒决明子、车前子（炒）、密蒙花、炒鸡内金、金荞麦、山楂、升麻	补肝，益肾，明目
金莲花、大青叶、石膏、知母、地黄、玄参、炒苦杏仁	清热解毒，生津利咽，止咳祛痰
金莲花	清热解毒
金莲花、薄荷素油	清热解毒，消肿止痛，利咽
人工牛黄、金银花、蜈蚣、炮山甲、蟾酥、蒲公英、半枝莲、山慈菇、莪术、白花蛇舌草、苦参、龙葵、珍珠、大黄、黄药子、乳香（制）、没药（制）、醋延胡索、红花、姜半夏、党参、黄芪、刺五加、砂仁	清热解毒，消肿止痛，益气化痰
金银花、栀子、黄芩、苦参、黄柏、龙胆、白芷、白鲜皮、蛇床子、蝉蜕、连翘、地肤子、地黄、青蒿、广藿香、甘草	清热解毒，燥湿止痒
浙贝母、金银花、前胡、炒苦杏仁、桑白皮、桔梗、射干、麻黄、川芎、甘草	清肺止咳，化痰平喘
金钱草	清热利湿，利尿通淋
川西獐牙菜、金钱草、大黄	舒肝利胆，清热解毒
钻山风、黄鳝藤、四块瓦、威灵仙、千斤拔、丰城鸡血藤、山姜	祛风除湿，散瘀镇痛，舒筋活络
麦冬、瓜篓皮、诃子肉、青果、凤凰衣、桔梗、浙贝母、茯苓、甘草	润肺利咽，生津止渴
麦冬、玄参、瓜蒌皮、诃子肉、青果、凤凰衣、桔梗、浙贝母、茯苓、甘草	润肺利咽，生津止渴
银杏叶、丹参、灯盏细辛、绞股蓝、山楂、大蒜、三七、艾片	苗医：蒙修，蒙柯，陇蒙柯，给俄，告俄蒙给
苦参、甘草、白鲜皮、防风、土茯苓、蝉蜕、黄柏、地黄、山银花、赤芍、连翘、当归	清热燥湿，活血解毒
银杏叶提取物	活血化瘀通络
山银花、连翘、牛蒡子、桔梗、芦根、薄荷、淡豆豉、甘草、淡竹叶、荆芥、人工牛黄	疏风解表，清热解毒
连翘、金银花、黄芩、丁香叶	疏解风热，清肺泻火
金银花、连翘、桔梗、薄荷、淡豆豉、淡竹叶、牛蒡子、荆芥、芦根、甘草	辛凉透表，清热解毒
金银花提取物、黄芩提取物	清热疏风，利咽解毒
金银花提取物（以绿原酸计）、黄芩提取物（以黄芩苷计）	清热疏风，利咽解毒
金银花提取物、黄芩提取物	清热疏风，利咽解毒
锁阳、肉苁蓉（蒸）、制巴戟天、补骨脂（盐炒）、菟丝子、杜仲（炭）、八角茴香、韭菜子、芡实（炒）、莲子、莲须、煅牡蛎、龙骨（煅）、鹿角霜、熟地黄、山茱萸（制）、牡丹皮、山药、茯苓、泽泻、知母、黄柏、牛膝、大青盐	温肾固精
甘草流浸膏、盐酸麻黄碱、桑白皮	止咳，平喘，祛痰
党参、三七、醋延胡索、地龙、薤白、炒葶苈子、肉桂、冰片、薄荷脑	益气活血，通络化痰
猪脑粉、细辛、丹参、水牛角浓缩粉、川芎、天麻、葛根、藁本、白芷	熄风通络
防风、荆芥穗、薄荷、麻黄、大黄、芒硝、栀子、滑石、桔梗、石膏、川芎、当归、白芍、黄芩、连翘、甘草、白术（炒）	解表通里，清热解毒
鲜牛蒡草、鲜凤仙透骨草、生川乌、桂枝、大黄、当归、生草乌、生附子、地龙、僵蚕、赤芍、白芷、白蔹、白及、川芎、续断、防风、荆芥、五灵脂、木香、香橼、陈皮、肉桂、乳香、没药、苏合香、人工麝香	温阳化湿，消肿散结
北沙参、麦冬、石斛、川楝子、玉竹、白芍、炙甘草	养阴益胃，缓急止痛
阿胶、大枣、黄芪	补气血，健脾胃
阿胶、熟地黄、党参、黄芪、枸杞子、白术	补益气血，滋阴润肺
香附、厚朴、三棱、莪术、当归、生草乌、生川乌、大蒜、使君子、白芷、穿山甲、木鳖子、蜣螂、胡黄连、大黄、蓖麻子、乳香、没药、芦荟、血竭、雄黄、肉桂、樟脑、阿魏	化痞消积
附子（制）、党参、炒白术、干姜、甘草	温中健脾
附子（制）、党参、炒白术、干姜、甘草	温中健脾
附子（制）、制川乌、肉桂、党参、当归、炒白芍、淫羊藿、醋乳香	温阳散寒，益气活血，消肿止痛
黄芪、酒黄精、地黄、太子参、天花粉	补中益气，养阴生津
制何首乌、枸杞子、黄精、山楂、决明子	补肝益肾，养血明目
姜黄提取物（以姜黄素类化合物计）	活血行气，降脂祛浊
党参、炒白术、山药、白芍、芡实、车前子（炒）、当归、苍术、陈皮、白果仁、荆芥炭、柴胡、黄柏炭、茜草、海螵蛸、煅牡蛎	健脾益气，除湿止带
石菖蒲、决明子、肉苁蓉、葛根、青葙子、党参、蔓荆子、枸杞子、车前子、白芍、山茱萸、甘草、菟丝子、升麻、蕤仁（去内果皮）、菊花、密蒙花、川芎、酒黄精、熟地黄、关黄柏、黄芪	补益肝肾，退翳明目
丹参、红花、茺蔚子、青葙子、决明子、蝉蜕、没药、黄芪、昆布、海藻、木通、炉甘石（水飞）、牛胆干膏、羊胆干膏、珍珠、琥珀、天然冰片、人工麝香、硼砂、海螵蛸、盐酸小檗碱、维生素B、山药、无水硫酸钙、荸荠粉	行滞祛瘀，退障消翳
青叶胆	清肝利胆，清热利湿
盐杜仲、盐补骨脂、核桃仁（炒）、大蒜	补肾强腰
青果、金银花、黄芩、北豆根、麦冬、玄参、白芍、桔梗	清热利咽，消肿止痛
羌活、川芎、葛根、秦艽、威灵仙、麸炒、苍术、丹参、白芍、地龙（酒炙）、红花乳香（制）、黄芪、党参、地黄、石决明、煅花蕊、石关、黄柏、炒王不留行、燀桃仁、没药（制）、土鳖虫（酒炙）	活血通络，散风止痛
三七、川芎、延胡索、羌活、白芍、威灵仙、葛根	活血化瘀，行气止痛
三七、当归、川芎、红花、天麻、肉桂、人工牛黄	活血化瘀，温经通窍止痛
地枫皮、红花、千年健、制川乌、防风、制草乌、乳香（炒）、制马钱子、木耳、没药（炒）	祛风散寒，活血通络
陈皮、法半夏、青皮、苦杏仁、麻黄、紫苏叶、五味子、桑白皮、炙甘草、生姜	宣肺散寒，祛痰止咳
陈皮、生姜、法半夏、青皮、苦杏仁、麻黄、紫苏叶、五味子、桑白皮、炙甘草	宣肺散寒，祛痰止咳
八角枫、白芷、徐长卿、甘草	散风除湿，通络止痛
马钱子粉、炒僵蚕、乳香（炒）、没药（炒）、全蝎、牛膝、苍术、麻黄、甘草	祛风除湿，活血祛瘀，通络止痛
制川乌、制草乌、红花、甘草、木瓜、乌梅、麻黄	温经散寒，通络止痛
山银花、熊胆粉、青黛、桔梗、瓜蒌皮、甘草	清热解毒，宣肺透表，利咽化痰
防己、通草、桂枝、姜黄、石膏、薏苡仁、木瓜、海桐皮、忍冬藤、黄柏、滑石粉、连翘	清热利湿，活血通络
制何首乌、熟地黄、酒牛膝、桑椹、酒女贞子、墨旱莲、桑叶（制）、黑芝麻、菟丝子（酒蒸）、金樱子、盐补骨脂、豨莶草（制）、金银花（制）	补肝肾，强筋骨，乌须发
木香、砂仁、党参、炒白术、茯苓、炙甘草、陈皮、姜半夏	益气健脾，和胃
